101,1,7
101,2,165
101,3,1
101,4,77
101,5,31
101,6,11
101,7,161
101,8,41
101,9,191
101,10,4
101,11,21
101,12,157
101,13,51
101,14,143
101,15,91
101,16,171
101,17,136
101,18,67
101,19,122
101,20,76
101,21,154
101,22,53
101,23,83
101,24,81
101,25,85
101,26,13
101,27,35
101,28,151
101,29,2
101,30,202
101,31,33
101,32,162
101,33,132
101,34,71
101,35,243
101,36,22
101,37,84
101,38,201
101,39,166
101,40,172
101,41,121
101,42,163
101,43,141
101,44,5
101,45,107
101,46,86
101,47,182
101,48,92
101,49,175
101,50,54
101,51,12
101,52,72
101,53,62
101,54,147
101,55,34
101,56,145
101,57,45
101,58,46
101,59,73
101,60,114
101,61,44
101,62,116
101,63,131
101,64,103
101,65,112
101,66,26
101,67,25
101,68,205
101,69,214
101,70,196
101,71,236
101,72,223
101,73,152
101,74,43
101,75,216
101,76,3
101,77,65
101,78,96
101,79,95
101,80,56
101,81,177
101,82,47
101,83,101
101,84,106
101,85,87
101,86,246
101,87,192
101,88,183
101,89,16
101,90,215
101,91,185
101,92,15
101,93,164
101,94,227
101,95,127
101,96,123
101,97,97
101,98,52
101,99,104
101,100,55
101,101,135
101,102,212
101,103,244
101,104,193
